,Adj P Val,F statistic
Wnt11,0.060224913,-0.297824607
Mycn,0.061316272,-0.24448232
Ccnb1,0.061810173,-0.315053065
Fgf1,0.062426419,-0.21096232
Polr2h,0.063413028,-0.056968642
Fbxw7,0.063420556,-0.142501814
Elk1,0.065196911,-0.224524714
Fgfr3,0.065514853,-0.202623306
Ptprr,0.065514853,-0.272987723
Dtx1,0.065514853,-0.248728825
Plce1,0.065514853,-0.258772559
Il1r2,0.066672431,-0.243279053
Shc3,0.066878707,-0.098521159
Prkcb,0.066878707,-0.176536003
Nras,0.068210841,-0.044455833
Hes1,0.068210841,-0.138236899
Baiap3,0.07091848,-0.294056484
Fanca,0.070932911,-0.279913946
Fgf4,0.072550705,-0.23589683
Col6a6,0.073072281,-0.231106297
Ppp3r2,0.073130969,-0.211037917
Dkk1,0.073130969,-0.261458996
Tspan7,0.073954087,-0.130272948
Lefty2,0.074496833,-0.217033383
Etv1,0.075901539,-0.155029383
Fgfr4,0.077052775,-0.26516823
Brip1,0.077406897,-0.213567283
Rasgrp2,0.077819021,-0.272434804
Cdc25a,0.077828741,-0.08433401
Lfng,0.077828741,-0.140086377
Tcf3,0.081291438,-0.221412835
Hspa1a,0.081547972,-0.140723634
Itgb7,0.08161695,-0.20969546
Gngt1,0.083412694,-0.249304633
Atm,0.083412694,-0.138436645
Sf3b1,0.0843748,-0.031310453
Foxl2,0.084980387,-0.230475074
Ppp2r2b,0.086310791,-0.260231869
Il20rb,0.086674375,-0.122277578
Fasl,0.086856449,-0.183248551
Wnt2,0.087958042,-0.299683401
Hoxa10,0.090707626,-0.086700486
Ppargc1a,0.091072333,-0.217138272
Myb,0.091072333,-0.395836747
Dll4,0.092757257,-0.187133984
Pparg,0.094226038,-0.223491705
Rasgrf2,0.094518264,-0.294272572
Cacng6,0.095771829,-0.196065828
Wnt6,0.097367362,-0.166851047
Rps27a,0.097367362,-0.169922614
Runx1t1,0.097367362,-0.193330458
Cdc7,0.097367362,-0.187500416
Grin1,0.097367362,-0.222728109
Prkar2a,0.099176738,-0.03295732
Wnt7a,0.102260692,-0.278614599
Ccnb3,0.105110665,-0.248792269
Jag2,0.105285429,-0.208710868
Gtf2h3,0.105285429,-0.081646322
Itgb8,0.105584289,-0.238740723
Ccr7,0.10573387,-0.183354594
Pla2g4c,0.10573387,-0.225633333
Fgf16,0.106161247,-0.285174104
Clcf1,0.106161247,-0.119762616
Rfc4,0.106161247,-0.048188066
Smc1b,0.106170171,-0.260565002
Mlf1,0.108350253,-0.111967561
Mapk8ip2,0.108350253,-0.204514412
Rnf43,0.108681004,-0.172697846
Il22ra1,0.108681004,-0.224886511
Il22ra2,0.109236235,-0.253524457
Cdc6,0.111498941,-0.136262262
Stat1,0.112293934,-0.124795006
Tpo,0.112720743,-0.24050014
Pdgfb,0.113593589,-0.282569167
Il13,0.114272934,-0.240565589
Il15,0.114272934,-0.213396656
Mnat1,0.117072822,-0.046062618
Cxxc4,0.118121387,-0.20433549
Rac3,0.118640191,-0.064342184
Col11a2,0.119798674,-0.100395418
Itga2,0.121461755,-0.131081642
Csf1r,0.121753303,-0.099115759
Creb3l1,0.121753303,-0.079189175
Hist2h3c2,0.12305983,-0.085887427
Trp53,0.126089006,-0.064037984
Il10,0.127425174,-0.188534143
Igfbp3,0.127425174,-0.082343425
Il23r,0.128605081,-0.201269001
Erbb3,0.130190378,-0.199102303
Tnr,0.130321239,-0.202078179
Efna5,0.135749072,-0.115239785
Stat4,0.136259737,-0.196033909
Whsc1,0.142978244,-0.032519458
Rfc3,0.142978244,-0.126161489
Epor,0.143599473,-0.175706824
Zbtb16,0.144266381,-0.228519095
Pold1,0.146815702,-0.099452875
Irak2,0.147741117,-0.081106611
Sgk2,0.147741117,-0.259859519
Flt1,0.149597974,-0.100470972
Birc3,0.151774747,-0.064092575
Il11,0.151774747,-0.149485493
Lep,0.153869065,-0.226947855
Met,0.157948659,-0.16638676
Arid1a,0.15962425,-0.054644753
Ezh2,0.15962425,-0.059188469
Fgf11,0.160122609,-0.179757059
Creb3l3,0.16041003,-0.179785685
Flt3,0.16041003,-0.117654244
Il11ra2,0.161759512,-0.196274965
Card11,0.162198448,-0.284449376
Wnt3,0.162198448,-0.273700363
Hes5,0.16226963,-0.209893926
Il12b,0.162348387,-0.174633136
Il7,0.16294842,-0.122135486
Prmt8,0.16294842,-0.207744377
Hhip,0.165643881,-0.250867407
Cacna2d3,0.167170206,-0.073068663
Fgf20,0.169001857,-0.333328454
Pitx2,0.169378445,-0.255838173
Il5ra,0.171730872,-0.26673807
Bcl2,0.17253342,-0.068558025
Sfn,0.17253342,-0.132685696
Rxrg,0.172774762,-0.318276705
Gng4,0.173065218,-0.123757595
Il24,0.173422919,-0.15201783
Brca2,0.173422919,-0.045386937
Col11a1,0.177940683,-0.052750869
Cdkn2d,0.179334678,-0.079572911
Wnt4,0.180218346,-0.203484839
Lifr,0.184669373,-0.110714395
Pla2g5,0.187181588,-0.174905369
Etv4,0.187181588,-0.096791784
Map3k7,0.191312087,-0.039916088
Col4a6,0.192876063,-0.187899787
Syk,0.197593591,-0.067101716
Gng7,0.20579856,-0.156101802
Wnt10b,0.206468326,-0.206464679
Kras,0.207055597,-0.031950531
Ret,0.207312795,-0.046222978
Socs1,0.211583026,-0.099314994
Spry4,0.211583026,-0.044796471
Itgb4,0.213456158,-0.171741966
Prlr,0.213456158,-0.189447802
Lamc3,0.215274397,-0.169704545
Arid2,0.221098101,-0.210990649
Angpt1,0.223936991,-0.141755358
Pold4,0.226398453,-0.035741595
Wt1,0.227973258,-0.120011485
Hhex,0.230060284,-0.106359718
Dusp4,0.230060284,-0.231694834
Cdk6,0.23021607,-0.065334079
Cebpa,0.231224359,-0.057775415
Ccnd3,0.231844589,-0.06181209
Alkbh3,0.234939808,-0.034734234
Map3k12,0.239442316,-0.151323967
Spp1,0.239442316,-0.094294716
Il3,0.240303199,-0.204175148
Rasal1,0.246441346,-0.130831496
Il19,0.246747441,-0.200238596
Ercc6,0.250711632,-0.038917607
Pax3,0.250783417,-0.068645964
Spop,0.250783417,-0.029118616
Ntf3,0.251122311,-0.132935697
Kmt2d,0.257089914,-0.069392736
Npm2,0.267870175,-0.166999772
Cacnb2,0.273963859,-0.116137668
Map2k1,0.274323867,-0.019256133
Ifnb1,0.275510118,-0.102048868
Dusp5,0.275834919,-0.379023051
Hoxa11,0.281469908,-0.085458535
Col4a4,0.282471632,-0.11045138
Fgf23,0.282998125,-0.198554105
Wnt2b,0.287133883,-0.141223995
E2f5,0.287133883,-0.047486914
Smad9,0.298327676,-0.093931118
Hnf1a,0.298327676,-0.175190519
Pax5,0.299569706,-0.15144588
Zic2,0.301854203,-0.137769978
Lrp2,0.307019419,-0.183085855
Wnt3a,0.309412743,-0.14178945
Cd19,0.314145278,-0.227318844
Ptpn5,0.320775197,-0.142111993
Fgf2,0.325476542,-0.044516525
Lefty1,0.325625281,-0.080874923
Hmga1,0.326433803,-0.12949602
Vegfa,0.326703403,-0.11216891
Fgf12,0.329339583,-0.111902959
Dll3,0.329818544,-0.177811904
Fgf3,0.331654958,-0.191740508
Wnt5b,0.33349684,-0.046026181
Prl,0.334032313,-0.184492013
Mmp7,0.340836118,-0.170301135
Cdk4,0.34461145,-0.019076549
Mad2l2,0.348278799,-0.049793925
Mutyh,0.348496692,-0.095366982
Casp9,0.349343337,-0.04667193
Dusp6,0.352632798,-0.08736083
Pak3,0.358112022,-0.110924972
Fn1,0.358454051,-0.060102647
Pck1,0.360235848,-0.214517227
Akt3,0.36273909,-0.032705468
Flna,0.365496561,-0.043436726
Capn2,0.365511277,-0.035925488
Fgf21,0.371142323,-0.100591115
Fance,0.371675522,-0.046756386
Cd40,0.37523363,-0.063508149
Idh2,0.383031033,-0.066916971
U2af1,0.383031033,-0.027824776
Uty,0.383031033,-0.040093525
Mapt,0.383031033,-0.114725657
Axin2,0.388576674,-0.128813728
Arnt2,0.392255907,-0.074521581
Hspb1,0.402690005,-0.047760822
Mlh1,0.411398783,-0.031612914
Pgf,0.411398783,-0.089170864
Grin2b,0.414115994,-0.104067381
Ghr,0.422587984,-0.038497412
Calml3,0.436156749,-0.097517212
Ccno,0.456410419,-0.029092276
Tlx1,0.461489771,-0.12253306
Bcl2a1a,0.462610123,-0.058220323
Bdnf,0.465987426,-0.077365568
Inhbb,0.496633231,-0.107513973
Sin3a,0.503116355,-0.035470193
Nog,0.50583094,-0.103339169
Lif,0.50583094,-0.096905417
Ar,0.508049183,-0.072129429
Amer1,0.50888658,-0.024009129
Rras2,0.516833173,-0.019985423
Amh,0.530486064,-0.130614131
Tnfaip3,0.548060332,-0.042695942
Fzd8,0.551210084,-0.047745099
Fubp1,0.553390672,-0.01041628
Pik3cd,0.554402012,-0.030531321
Hdac10,0.555474342,-0.055728959
Rad52,0.563522233,-0.037181534
Asxl1,0.563522233,-0.041744295
Mapk8ip1,0.594346871,-0.026412697
Plau,0.598951443,-0.037099688
Ntrk2,0.602009577,-0.062314169
Ccna1,0.61745651,-0.057181093
Map2k2,0.622293025,-0.008763
